Spectrum section;avg. accuracy
400.639;0.5733333333333333
402.0854;0.5842857142857144
403.5317;0.5842857142857144
404.9781;0.5838095238095241
406.4244;0.5819047619047618
407.8708;0.5747619047619049
409.3171;0.5866666666666668
410.7635;0.597142857142857
412.2098;0.589047619047619
413.6562;0.5890476190476189
415.1025;0.5876190476190479
416.5489;0.5838095238095239
417.9952;0.592857142857143
419.4416;0.6023809523809521
420.8879;0.5990476190476192
422.3343;0.5752380952380953
423.7806;0.5904761904761906
425.227;0.5857142857142859
426.6733;0.5861904761904762
428.1197;0.5933333333333334
429.566;0.5776190476190478
431.0124;0.5852380952380951
432.4587;0.5976190476190475
433.9051;0.579047619047619
435.3514;0.6038095238095239
436.7978;0.5890476190476192
438.2441;0.6009523809523811
439.6905;0.5671428571428572
441.1368;0.5752380952380953
442.5832;0.5695238095238097
444.0295;0.5766666666666669
445.4759;0.5895238095238095
446.9222;0.590952380952381
448.3686;0.5904761904761905
449.8149;0.5914285714285713
451.2613;0.5819047619047618
452.7076;0.5771428571428572
454.154;0.5847619047619047
455.6003;0.5900000000000001
457.0467;0.6066666666666667
458.493;0.6023809523809525
459.9394;0.579047619047619
461.3857;0.566666666666667
462.8321;0.5833333333333333
464.2784;0.569047619047619
465.7248;0.5857142857142856
467.1711;0.5976190476190477
468.6175;0.5880952380952382
470.0638;0.5671428571428572
471.5102;0.5652380952380953
472.9565;0.5814285714285714
474.4029;0.5814285714285715
475.8492;0.5800000000000002
477.2956;0.5780952380952382
478.7419;0.572857142857143
480.1883;0.6023809523809522
481.6346;0.5733333333333333
483.081;0.5842857142857142
484.5273;0.5804761904761906
485.9737;0.5733333333333333
487.42;0.6019047619047617
488.8664;0.5828571428571431
490.3127;0.5919047619047617
491.7591;0.5757142857142857
493.2054;0.5766666666666667
494.6518;0.5990476190476188
496.0981;0.5790476190476191
497.5445;0.5814285714285716
498.9908;0.5833333333333334
500.4372;0.5838095238095239
501.8835;0.5842857142857144
503.3299;0.5938095238095237
504.7762;0.5871428571428574
506.2226;0.5819047619047618
507.6689;0.597142857142857
509.1153;0.638095238095238
510.5616;0.6085714285714287
512.0079;0.5761904761904764
513.4543;0.5933333333333333
514.9006;0.5785714285714285
516.347;0.5771428571428572
517.7933;0.5685714285714287
519.2397;0.5852380952380956
520.686;0.5776190476190477
522.1324;0.5985714285714286
523.5787;0.5880952380952382
525.0251;0.5895238095238096
526.4714;0.5885714285714285
527.9178;0.5833333333333335
529.3641;0.5871428571428574
530.8105;0.5995238095238098
532.2568;0.5966666666666667
533.7032;0.5823809523809524
535.1495;0.5928571428571431
536.5959;0.5714285714285715
538.0422;0.5857142857142857
539.4886;0.589047619047619
540.9349;0.6028571428571429
542.3813;0.5819047619047621
543.8276;0.5904761904761906
545.274;0.5938095238095239
546.7203;0.5528571428571428
548.1667;0.6385714285714286
549.613;0.6785714285714286
551.0594;0.7219047619047616
552.5057;0.7666666666666663
553.9521;0.7795238095238094
555.3984;0.7933333333333327
556.8448;0.789523809523809
558.2911;0.7652380952380947
559.7375;0.7547619047619045
561.1838;0.7385714285714282
562.6302;0.657142857142857
564.0765;0.6480952380952377
565.5229;0.6509523809523811
566.9692;0.6304761904761904
568.4156;0.6361904761904763
569.8619;0.6233333333333335
571.3083;0.622857142857143
572.7546;0.6942857142857142
574.201;0.7223809523809525
575.6473;0.7033333333333328
577.0938;0.7319047619047615
578.54;0.7090476190476188
579.9865;0.6938095238095238
581.4327;0.6971428571428571
582.8792;0.7033333333333333
584.3254;0.7185714285714281
585.7719;0.7247619047619044
587.2181;0.7033333333333328
588.6646;0.6852380952380952
590.1108;0.5776190476190477
591.5573;0.611904761904762
593.0035;0.6495238095238092
594.45;0.6990476190476187
595.8962;0.7419047619047615
597.3427;0.7323809523809521
598.7889;0.7504761904761902
600.2354;0.7714285714285709
