Spectrum section,avg. accuracy
1,0.5909523809523809
2,0.5995238095238097
3,0.7566666666666662
4,0.7390476190476187
5,0.686190476190476
6,0.7319047619047616
7,0.717142857142857
8,0.7271428571428566
9,0.6042857142857143
10,0.6723809523809525
11,0.7652380952380946
12,0.7842857142857135
13,0.7557142857142852
14,0.8095238095238092
15,0.6985714285714281
16,0.7742857142857137
17,0.8933333333333322
18,0.8490476190476186
19,0.8204761904761899
20,0.6004761904761906
21,0.851428571428571
22,0.7442857142857139
23,0.8528571428571423
24,0.8980952380952371
25,0.849523809523809
26,0.8447619047619044
27,0.7714285714285711
28,0.7785714285714276
29,0.5552380952380954
30,0.607142857142857
31,0.6557142857142856
32,0.571904761904762
33,0.5752380952380952
34,0.6895238095238093
35,0.6414285714285713
36,0.6533333333333334
37,0.7328571428571422
38,0.703333333333333
39,0.6661904761904762
40,0.629047619047619
41,0.5638095238095242
42,0.5828571428571427
43,0.6395238095238094
44,0.7061904761904759
45,0.5547619047619049
46,0.6719047619047619
47,0.5619047619047618
48,0.6476190476190473
49,0.7376190476190476
50,0.5666666666666668
51,0.5690476190476192
52,0.5695238095238094
53,0.8176190476190469
54,0.8095238095238092
55,0.8019047619047616
56,0.8395238095238089
57,0.682380952380952
58,0.7371428571428567
59,0.7209523809523808
60,0.8299999999999997
61,0.8190476190476187
62,0.7299999999999994
63,0.7057142857142854
64,0.7576190476190473
65,0.674285714285714
66,0.7280952380952377
67,0.5861904761904763
68,0.5809523809523812
69,0.5642857142857143
70,0.5933333333333335
71,0.5723809523809523
72,0.5838095238095239
73,0.5985714285714284
